Categorías
"[[""[('Sr. D. R. P.', 'MISC')]"", ('Enviando', 'enviar', 'VERB'), ('obras', 'obra', 'NOUN')]]"
"[[('mujer', 'mujer', 'NOUN'), ('piadosa', 'piadoso', 'ADJ'), ""[('Fragmentos', 'MISC')]""]]"
"[[""[('Desvarío', 'MISC')]""]]"
"[[""[('Soneto', 'PER')]"", ('Gloria', 'gloria', 'PROPN'), ('pobreza', 'pobreza', 'NOUN'), ""[('inmortal Quintana...', 'MISC')]""]]"
"[[""[('Balada', 'PER')]"", ('despedida', 'despedida', 'NOUN'), ('hija', 'hija', 'NOUN')]]"
"[[('viaje', 'viaje', 'NOUN'), ""[('Luna', 'MISC')]"", ('Prólogo', 'prólogo', 'NOUN'), ('pesadilla', 'pesadilla', 'PROPN'), ""[('Mocquet', 'PER')]""]]"
"[[('álbum', 'álbum', 'NOUN'), ""[('señora M…', 'PER')]""]]"
"[[('primavera', 'primavera', 'NOUN')]]"
"[[('perejilera', 'perejilera', 'NOUN')]]"
"[[('viaje', 'viaje', 'NOUN'), ""[('Luna', 'MISC')]"", ('Continuación', 'continuación', 'NOUN')]]"
"[[('señor', 'señor', 'NOUN'), ""[('Don B. M.', 'PER')]""]]"
"[[('orillas', 'orilla', 'NOUN'), ""[('Manzanares', 'LOC')]"", ('súplica', 'súplica', 'NOUN')]]"
"[[('viaje', 'viaje', 'NOUN'), ""[('Luna', 'MISC')]"", ('Continuación', 'continuación', 'NOUN')]]"
"[[('Fragmentos', 'fragmentos', 'NOUN'), ""[('de la Rosa de Alejandra', 'PER')]""]]"
"[[('Gente', 'gente', 'NOUN'), ('morena', 'moreno', 'ADJ')]]"
"[[('viaje', 'viaje', 'NOUN'), ""[('Luna', 'MISC')]"", ('Continuación', 'continuación', 'NOUN')]]"
"[[('excmo', 'excmo', 'NOUN'), ""[('Sr. D. Agustín Esteban Collantes', 'MISC')]"", ('día', 'día', 'NOUN'), ('santo', 'santo', 'NOUN')]]"
"[[('niña', 'niña', 'NOUN'), ""[('Margarita Aurora de Wilson', 'PER')]"", ""[('Serrano', 'PER')]"", ('día', 'día', 'NOUN'), ('cumpleaños', 'cumpleaños', 'NOUN')]]"
"[[('Costumbres', 'costumbres', 'NOUN'), '[(""siglo XIX"", ""DATE"")]']]"
"[[""[('Margarita', 'PER')]"", ('Novela', 'novela', 'NOUN'), ('bretona', 'bretono', 'ADJ')]]"
"[[('escondidos', 'esconder', 'ADJ'), ('tapada', 'tapada', 'NOUN'), ('Fragmentos', 'fragmentos', 'NOUN')]]"
"[[('apreciable', 'apreciable', 'ADJ'), ('amiga', 'amiga', 'NOUN'), ""[('Señora doña M. Del Pilar Sinués de Marco', 'PER')]"", ('álbum', 'álbum', 'NOUN')]]"
"[[('Costumbres', 'costumbres', 'NOUN'), '[(""siglo XIX"", ""DATE"")]']]"
"[[""[('Margarita', 'PER')]"", ('Novela', 'novela', 'NOUN'), ('bretona', 'bretono', 'ADJ'), ('Continuación', 'continuación', 'NOUN')]]"
"[[('niña', 'niña', 'NOUN'), ""[('Margarita Aurora de Wilson', 'PER')]"", ""[('Serrano', 'PER')]""]]"
"[[""[('María', 'PER')]""]]"
"[[""[('Alteza Real', 'PER')]"", ""[('Príncipe de Asturias', 'PER')]""]]"
"[[""[('Margarita', 'PER')]"", ('Novela', 'novela', 'NOUN'), ('bretona', 'bretono', 'ADJ'), ('Conclusión', 'Conclusión', 'PROPN')]]"
"[[('otoño', 'otoño', 'NOUN')]]"
"[[""[('Soneto', 'PER')]"", ('Aún', 'aún', 'ADV'), ('eco', 'eco', 'NOUN'), ('tienen', 'tener', 'VERB'), ('alma', 'alma', 'NOUN')]]"
"[[('Atentado', 'atentado', 'NOUN'), ""[('SS. MM. II', 'PER')]""]]"
"[[""[('El matrimonio de la Princesa real de Inglaterra [...]', 'MISC')]""], [('Hace', 'hacer', 'VERB'), ('años', 'año', 'NOUN'), ('banquero', 'banquero', 'NOUN'), ('muy', 'mucho', 'ADV'), ('rico', 'rico', 'ADJ')], [('periódicos', 'periódico', 'NOUN'), ('franceses', 'francés', 'ADJ'), ('extranjero', 'extranjero', 'NOUN')]]"
"[[""[('Poesía', 'MISC')]"", ""[('Oda', 'PER')]""]]"
"[[('buen', 'buen', 'ADJ'), ('amigo', 'amigo', 'NOUN'), ('distinguido', 'distinguir', 'ADJ'), ('escritor', 'escritor', 'NOUN'), ('don', 'don', 'ADJ'), ""[('Alejandro Dumas', 'PER')]"", ('prueba', 'prueba', 'NOUN'), ('sincera', 'sincero', 'ADJ'), ('amistad', 'amistad', 'NOUN')]]"
"[[('luna', 'luna', 'NOUN'), ""[('Soneto', 'PER')]""]]"
"[[('apariencias', 'apariencia', 'NOUN'), ('engañan', 'engañar', 'VERB'), ('Historia-cuento', 'historia-cuento', 'NOUN')]]"
"[[('viaje', 'viaje', 'NOUN'), ""[('SS.', 'MISC')]"", ""[('AA. [...', 'MISC')]""], [('sábado', 'sábado', 'NOUN')], [""[('El príncipe Mirza-Ally-Kan-Bahadoor [...]', 'MISC')]""], [('Habláse', 'hablar', 'VERB'), ('círculos', 'círculo', 'NOUN'), ('aristocrático', 'aristocrático', 'ADJ'), ('matrimonio', 'matrimonio', 'NOUN')]]"
"[[('invierno', 'invierno', 'NOUN')]]"
"[[('hada', 'hada', 'NOUN'), ('azul', 'azul', 'ADJ')]]"
"[[('lunes', 'lunes', 'NOUN'), ('corriente', 'corriente', 'NOUN'), ('inaugurado', 'inaugurar', 'VERB')], [('Vamos', 'ir', 'VERB'), ('contar', 'contar', 'VERB'), ('historia', 'historia', 'NOUN'), ('ocurrida', 'ocurrir', 'ADJ'), ('días', 'día', 'NOUN'), ('Pascua', 'Pascua', 'PROPN')], [""[('Ismail', 'PER')]"", ('generalísimo', 'generalísimo', 'ADJ'), ('ejército', 'ejército', 'NOUN'), ('otomano', 'otomano', 'ADJ')]]"
"[[('navío', 'navío', 'NOUN'), ""[('Leviatán', 'MISC')]""]]"
"[[('Ayes', 'ayes', 'PROPN'), ('corazón', 'corazón', 'NOUN')]]"
